tatort	tatort_cleaned	tatort_coding	lat	lon
Düsseldorfer Straße in Höhe von Haus-Nr. 42	Düsseldorfer Straße 42	Düsseldorfer Straße 42, Moers, Deutschland	51.43853	6.64304
Düsseldorfer Straße, Autobahnbrücke	Düsseldorfer Straße, Autobahnbrücke	Düsseldorfer Straße, Autobahnbrücke, Moers, Deutschland	51.43969	6.64233
Ehrenmalstraße 12	Ehrenmalstraße 12	Ehrenmalstraße 12, Moers, Deutschland	51.41669	6.59107
Eichendorffstraße in Höhe von Haus-Nr. 60-62	Eichendorffstraße 60-62	Eichendorffstraße 60-62, Moers, Deutschland	51.48743	6.60142
Eichenstraße 114	Eichenstraße 114	Eichenstraße 114, Moers, Deutschland	51.45164	6.67148
Eichenstraße 122	Eichenstraße 122	Eichenstraße 122, Moers, Deutschland	51.45156	6.67045
Eichenstraße 128	Eichenstraße 128	Eichenstraße 128, Moers, Deutschland	51.45157	6.66993
Eichenstraße 139	Eichenstraße 139	Eichenstraße 139, Moers, Deutschland	51.45139	6.66918
Eichenstraße 145	Eichenstraße 145	Eichenstraße 145, Moers, Deutschland	51.45144	6.66801
Eichenstraße 149	Eichenstraße 149	Eichenstraße 149, Moers, Deutschland	51.45144	6.66763
Eichenstraße 151	Eichenstraße 151	Eichenstraße 151, Moers, Deutschland	51.45145	6.6675
Eichenstraße 167	Eichenstraße 167	Eichenstraße 167, Moers, Deutschland	51.45149	6.66577
Eichenstraße 189	Eichenstraße 189	Eichenstraße 189, Moers, Deutschland	51.45153	6.66252
Eichenstraße 194	Eichenstraße 194	Eichenstraße 194, Moers, Deutschland	51.45181	6.6631
Eichenstraße 215	Eichenstraße 215	Eichenstraße 215, Moers, Deutschland	51.45166	6.65926
Eichenstraße 228	Eichenstraße 228	Eichenstraße 228, Moers, Deutschland	51.45189	6.65844
Eichenstraße 230	Eichenstraße 230	Eichenstraße 230, Moers, Deutschland	51.45187	6.65813
Eichenstraße 73	Eichenstraße 73	Eichenstraße 73, Moers, Deutschland	51.45159	6.67575
Eichenstraße 90, Ecke Scherpenberger Str.	Eichenstraße 90, Ecke Scherpenberger Str.	Eichenstraße 90, Ecke Scherpenberger Str., Moers, Deutschland	51.45175	6.67457
Eichenstraße ggü. Haus-Nr. 139	Eichenstraße 139	Eichenstraße 139, Moers, Deutschland	51.45139	6.66918
Eichenstraße ggü. Haus-Nr. 207	Eichenstraße 207	Eichenstraße 207, Moers, Deutschland	51.45161	6.66024
Eichenstraße in Höhe von Haus-Nr. 122	Eichenstraße 122	Eichenstraße 122, Moers, Deutschland	51.45156	6.67045
Eichenstraße in Höhe von Haus-Nr. 124	Eichenstraße 124	Eichenstraße 124, Moers, Deutschland	51.45156	6.67038
Eichenstraße in Höhe von Haus-Nr. 147	Eichenstraße 147	Eichenstraße 147, Moers, Deutschland	51.45144	6.66789
Eichenstraße in Höhe von Haus-Nr. 149	Eichenstraße 149	Eichenstraße 149, Moers, Deutschland	51.45144	6.66763
Eichenstraße in Höhe von Haus-Nr. 194	Eichenstraße 194	Eichenstraße 194, Moers, Deutschland	51.45181	6.6631
Eichenstraße in Höhe von Haus-Nr. 198	Eichenstraße 198	Eichenstraße 198, Moers, Deutschland	51.45183	6.66272
Eichenstraße in Höhe von Haus-Nr. 209	Eichenstraße 209	Eichenstraße 209, Moers, Deutschland	51.45162	6.66002
Eichenstraße in Höhe von Haus-Nr. 215	Eichenstraße 215	Eichenstraße 215, Moers, Deutschland	51.45166	6.65926
Eichenstraße in Höhe von Haus-Nr. 222	Eichenstraße 222	Eichenstraße 222, Moers, Deutschland	51.45195	6.65916
Eichenstraße in Höhe von Haus-Nr. 225	Eichenstraße 225	Eichenstraße 225, Moers, Deutschland	51.45161	6.65827
Eichenstraße in Höhe von Haus-Nr. 228	Eichenstraße 228	Eichenstraße 228, Moers, Deutschland	51.45189	6.65844
Eichenstraße neben Haus-Nr. 122	Eichenstraße 122	Eichenstraße 122, Moers, Deutschland	51.45156	6.67045
Eichenstraße vor Haus-Nr. 140	Eichenstraße 140	Eichenstraße 140, Moers, Deutschland	51.45162	6.66835
Eicker Grund ggü. Haus-Nr., Sparkasse	Eicker Grund, Sparkasse	Eicker Grund, Sparkasse, Moers, Deutschland	51.48127	6.63012
Eicker Grund in Höhe von Haus-Nr. 72	Eicker Grund 72	Eicker Grund 72, Moers, Deutschland	51.4832	6.62686
Eicker Grund in Höhe von Haus-Nr., Kirche	Eicker Grund, Kirche	Eicker Grund, Kirche, Moers, Deutschland	51.48127	6.63012
Eicker Grund in Höhe von Haus-Nr., Sparkasse	Eicker Grund, Sparkasse	Eicker Grund, Sparkasse, Moers, Deutschland	51.48127	6.63012
Eicker Grund, Sparkasse	Eicker Grund, Sparkasse	Eicker Grund, Sparkasse, Moers, Deutschland	51.48127	6.63012
Elbestraße 25	Elbestraße 25	Elbestraße 25, Moers, Deutschland	51.46492	6.64287
Elbestraße 33	Elbestraße 33	Elbestraße 33, Moers, Deutschland	51.46666	6.64229
Elbestraße 36	Elbestraße 36	Elbestraße 36, Moers, Deutschland	51.46627	6.64194
Elbestraße in Höhe von Haus-Nr. 36	Elbestraße 36	Elbestraße 36, Moers, Deutschland	51.46627	6.64194
Elbinger Ring ggü. Haus-Nr. 20, Wendehammer	Elbinger Ring 20, Wendehammer	Elbinger Ring 20, Wendehammer, Moers, Deutschland	51.47657	6.62663
Elbinger Ring in Höhe von Haus-Nr., Wendehammer	Elbinger Ring, Wendehammer	Elbinger Ring, Wendehammer, Moers, Deutschland	51.47617	6.62713
Elbinger Ring neben Haus-Nr. 20, Wendehammer	Elbinger Ring 20, Wendehammer	Elbinger Ring 20, Wendehammer, Moers, Deutschland	51.47657	6.62663
Elenastraße	Elenastraße	Elenastraße, Moers, Deutschland	51.44823	6.64197
Elenastraße ggü. Haus-Nr. 15	Elenastraße 15	Elenastraße 15, Moers, Deutschland	51.44827	6.64175
Elenastraße ggü. Haus-Nr. 32	Elenastraße 32	Elenastraße 32, Moers, Deutschland	51.44823	6.64197
Elenastraße ggü. Haus-Nr. 9	Elenastraße 9	Elenastraße 9, Moers, Deutschland	51.44782	6.64209
Elenastraße ggü. Haus-Nr. 9, Parkplatz	Elenastraße 9, Parkplatz	Elenastraße 9, Parkplatz, Moers, Deutschland	51.44782	6.64209
Elenastraße hinter Haus-Nr., Ecke Antoniastr.	Elenastraße , Ecke Antoniastr.	Elenastraße , Ecke Antoniastr., Moers, Deutschland	51.44823	6.64197
Elenastraße in Höhe von Haus-Nr. 30	Elenastraße 30	Elenastraße 30, Moers, Deutschland	51.44823	6.64197
Elenastraße in Höhe von Haus-Nr. 9	Elenastraße 9	Elenastraße 9, Moers, Deutschland	51.44782	6.64209
Elenastraße neben Haus-Nr., Parkplatz	Elenastraße, Parkplatz	Elenastraße, Parkplatz, Moers, Deutschland	51.44823	6.64197
Elenastraße, Ecke Antoniastr.	Elenastraße, Ecke Antoniastr.	Elenastraße, Ecke Antoniastr., Moers, Deutschland	51.44823	6.64197
Elenastraße, Parkplatz	Elenastraße, Parkplatz	Elenastraße, Parkplatz, Moers, Deutschland	51.44823	6.64197
Elisabeth-Selbert-Straße ggü. Haus-Nr. 14	Elisabeth-Selbert-Straße 14	Elisabeth-Selbert-Straße 14, Moers, Deutschland	51.48512	6.61602
Elisabeth-Selbert-Straße ggü. Haus-Nr. 19	Elisabeth-Selbert-Straße 19	Elisabeth-Selbert-Straße 19, Moers, Deutschland	51.48541	6.61621
Elly-Heuss-Knapp-Weg neben Haus-Nr. 1	Elly-Heuss-Knapp-Weg 1	Elly-Heuss-Knapp-Weg 1, Moers, Deutschland	51.48456	6.62281
Elsterstraße 21	Elsterstraße 21	Elsterstraße 21, Moers, Deutschland	51.46531	6.65458
Elsterstraße ggü. Haus-Nr. 26	Elsterstraße 26	Elsterstraße 26, Moers, Deutschland	51.46518	6.65419
Emanuelstraße 5	Emanuelstraße 5	Emanuelstraße 5, Moers, Deutschland	51.48463	6.60403
Emil-Nolde-Straße ggü. Haus-Nr. 26	Emil-Nolde-Straße 26	Emil-Nolde-Straße 26, Moers, Deutschland	51.42494	6.6564
Emil-Nolde-Straße in Höhe von Haus-Nr. 4	Emil-Nolde-Straße 4	Emil-Nolde-Straße 4, Moers, Deutschland	51.42473	6.65574
Emil-Nolde-Straße in Höhe von Haus-Nr. 7	Emil-Nolde-Straße 7	Emil-Nolde-Straße 7, Moers, Deutschland	51.42528	6.65579
Emil-Nolde-Straße in Höhe von Haus-Nr. 7/9	Emil-Nolde-Straße 7/9	Emil-Nolde-Straße 7/9, Moers, Deutschland	51.42519	6.65674
Emil-Nolde-Straße, Wendehammer	Emil-Nolde-Straße, Wendehammer	Emil-Nolde-Straße, Wendehammer, Moers, Deutschland	51.42519	6.65674
Engelbertstraße ggü. Haus-Nr. 59	Engelbertstraße 59	Engelbertstraße 59, Moers, Deutschland	51.44674	6.66863
Engelbertstraße ggü. Haus-Nr. 63	Engelbertstraße 63	Engelbertstraße 63, Moers, Deutschland	51.44698	6.66832
Engelbertstraße in Höhe von Haus-Nr. 26	Engelbertstraße 26	Engelbertstraße 26, Moers, Deutschland	51.44559	6.67105
Engelbertstraße in Höhe von Haus-Nr. 28	Engelbertstraße 28	Engelbertstraße 28, Moers, Deutschland	51.44572	6.67082
Erftstraße ggü. Haus-Nr. 62	Erftstraße 62	Erftstraße 62, Moers, Deutschland	51.46427	6.638
Erftstraße in Höhe von Haus-Nr., Wendehammer	Erftstraße, Wendehammer	Erftstraße, Wendehammer, Moers, Deutschland	51.46377	6.63781
Erftstraße, Wendehammer	Erftstraße, Wendehammer	Erftstraße, Wendehammer, Moers, Deutschland	51.46377	6.63781
Erich-Kästner-Straße neben Haus-Nr. 15	Erich-Kästner-Straße 15	Erich-Kästner-Straße 15, Moers, Deutschland	51.42293	6.58764
Erich-Kästner-Straße neben Haus-Nr. 15, Wendehammer	Erich-Kästner-Straße 15, Wendehammer	Erich-Kästner-Straße 15, Wendehammer, Moers, Deutschland	51.42293	6.58764
Erikaweg ggü. Haus-Nr. 6	Erikaweg 6	Erikaweg 6, Moers, Deutschland	51.42411	6.64636
Ernst-Holla-Straße 28	Ernst-Holla-Straße 28	Ernst-Holla-Straße 28, Moers, Deutschland	51.45129	6.6475
Ernst-Holla-Straße 32	Ernst-Holla-Straße 32	Ernst-Holla-Straße 32, Moers, Deutschland	51.45139	6.64747
Ernst-Holla-Straße 34	Ernst-Holla-Straße 34	Ernst-Holla-Straße 34, Moers, Deutschland	51.45146	6.64745
Ernst-Holla-Straße in Höhe von Haus-Nr. 13	Ernst-Holla-Straße 13	Ernst-Holla-Straße 13, Moers, Deutschland	51.45177	6.64692
Ernststraße in Höhe von Haus-Nr. 21	Ernststraße 21	Ernststraße 21, Moers, Deutschland	49.56886	9.1709
Erzgebirgsstraße in Höhe von Haus-Nr. 22	Erzgebirgsstraße 22	Erzgebirgsstraße 22, Moers, Deutschland	51.48164	6.62674
Essenberger Straße / C1	Essenberger Straße / C1	Essenberger Straße / C1, Moers, Deutschland	51.4493	6.63797
Essenberger Straße / C1 104a	Essenberger Straße / C1 104a	Essenberger Straße / C1 104a, Moers, Deutschland	51.44508	6.65866
Essenberger Straße / C1 112	Essenberger Straße / C1 112	Essenberger Straße / C1 112, Moers, Deutschland	51.44476	6.65973
Essenberger Straße / C1 135	Essenberger Straße / C1 135	Essenberger Straße / C1 135, Moers, Deutschland	51.44468	6.66282
Essenberger Straße / C1 18a	Essenberger Straße / C1 18a	Essenberger Straße / C1 18a, Moers, Deutschland	51.44746	6.6467
Essenberger Straße / C1 190	Essenberger Straße / C1 190	Essenberger Straße / C1 190, Moers, Deutschland	51.44413	6.66988
Essenberger Straße / C1 1h	Essenberger Straße / C1 1h	Essenberger Straße / C1 1h, Moers, Deutschland	51.44957	6.6372
Essenberger Straße / C1 2e	Essenberger Straße / C1 2e	Essenberger Straße / C1 2e, Moers, Deutschland	51.44965	6.63578
Essenberger Straße / C1 2g	Essenberger Straße / C1 2g	Essenberger Straße / C1 2g, Moers, Deutschland	51.44961	6.63589
Essenberger Straße / C1 6f	Essenberger Straße / C1 6f	Essenberger Straße / C1 6f, Moers, Deutschland	51.44882	6.64076
Essenberger Straße / C1 e	Essenberger Straße / C1 e	Essenberger Straße / C1 e, Moers, Deutschland	51.4493	6.63797
Essenberger Straße / C1 ggü. Haus-Nr. 1	Essenberger Straße / C1 1	Essenberger Straße / C1 1, Moers, Deutschland	51.44968	6.63657
Essenberger Straße / C1 ggü. Haus-Nr. 161	Essenberger Straße / C1 161	Essenberger Straße / C1 161, Moers, Deutschland	51.44446	6.66503
Essenberger Straße / C1 ggü. Haus-Nr. 2	Essenberger Straße / C1 2	Essenberger Straße / C1 2, Moers, Deutschland	51.44959	6.63603
Essenberger Straße / C1 ggü. Haus-Nr. 24	Essenberger Straße / C1 24	Essenberger Straße / C1 24, Moers, Deutschland	51.44737	6.64768
Essenberger Straße / C1 ggü. Haus-Nr. 2b	Essenberger Straße / C1 2b	Essenberger Straße / C1 2b, Moers, Deutschland	51.44964	6.63556
Essenberger Straße / C1 ggü. Haus-Nr. 2d	Essenberger Straße / C1 2d	Essenberger Straße / C1 2d, Moers, Deutschland	51.44966	6.6357
Essenberger Straße / C1 ggü. Haus-Nr. 2f	Essenberger Straße / C1 2f	Essenberger Straße / C1 2f, Moers, Deutschland	51.44961	6.63582
Essenberger Straße / C1 ggü. Haus-Nr. 2g	Essenberger Straße / C1 2g	Essenberger Straße / C1 2g, Moers, Deutschland	51.44961	6.63589
Essenberger Straße / C1 ggü. Haus-Nr. 4b	Essenberger Straße / C1 4b	Essenberger Straße / C1 4b, Moers, Deutschland	51.44938	6.63727
Essenberger Straße / C1 ggü. Haus-Nr. 86	Essenberger Straße / C1 86	Essenberger Straße / C1 86, Moers, Deutschland	51.44559	6.65601
Essenberger Straße / C1 ggü. Haus-Nr. 90	Essenberger Straße / C1 90	Essenberger Straße / C1 90, Moers, Deutschland	51.44552	6.65645
Essenberger Straße / C1 ggü. Haus-Nr. 96	Essenberger Straße / C1 96	Essenberger Straße / C1 96, Moers, Deutschland	51.44532	6.65726
Essenberger Straße / C1 ggü. Haus-Nr. 98	Essenberger Straße / C1 98	Essenberger Straße / C1 98, Moers, Deutschland	51.44539	6.65762
Essenberger Straße / C1 hinter Haus-Nr. 132	Essenberger Straße / C1  132	Essenberger Straße / C1  132, Moers, Deutschland	51.44454	6.66222
Essenberger Straße / C1 in Höhe von Haus-Nr. 1	Essenberger Straße / C1 1	Essenberger Straße / C1 1, Moers, Deutschland	51.44968	6.63657
Essenberger Straße / C1 in Höhe von Haus-Nr. 11	Essenberger Straße / C1 11	Essenberger Straße / C1 11, Moers, Deutschland	51.4479	6.64582
Essenberger Straße / C1 in Höhe von Haus-Nr. 11 a	Essenberger Straße / C1 11 a	Essenberger Straße / C1 11 a, Moers, Deutschland	51.4479	6.64582
Essenberger Straße / C1 in Höhe von Haus-Nr. 11 b	Essenberger Straße / C1 11 b	Essenberger Straße / C1 11 b, Moers, Deutschland	51.44788	6.64593
Essenberger Straße / C1 in Höhe von Haus-Nr. 12	Essenberger Straße / C1 12	Essenberger Straße / C1 12, Moers, Deutschland	51.44775	6.64565
Essenberger Straße / C1 in Höhe von Haus-Nr. 133	Essenberger Straße / C1 133	Essenberger Straße / C1 133, Moers, Deutschland	51.44468	6.66274
Essenberger Straße / C1 in Höhe von Haus-Nr. 18	Essenberger Straße / C1 18	Essenberger Straße / C1 18, Moers, Deutschland	51.44753	6.64643
Essenberger Straße / C1 in Höhe von Haus-Nr. 18a	Essenberger Straße / C1 18a	Essenberger Straße / C1 18a, Moers, Deutschland	51.44746	6.6467
Essenberger Straße / C1 in Höhe von Haus-Nr. 1d	Essenberger Straße / C1 1d	Essenberger Straße / C1 1d, Moers, Deutschland	51.44968	6.63657
Essenberger Straße / C1 in Höhe von Haus-Nr. 1e	Essenberger Straße / C1 1e	Essenberger Straße / C1 1e, Moers, Deutschland	51.44965	6.63668
Essenberger Straße / C1 in Höhe von Haus-Nr. 23	Essenberger Straße / C1 23	Essenberger Straße / C1 23, Moers, Deutschland	51.44754	6.64798
Essenberger Straße / C1 in Höhe von Haus-Nr. 2b	Essenberger Straße / C1 2b	Essenberger Straße / C1 2b, Moers, Deutschland	51.44964	6.63556
Essenberger Straße / C1 in Höhe von Haus-Nr. 2c	Essenberger Straße / C1 2c	Essenberger Straße / C1 2c, Moers, Deutschland	51.44967	6.63563
Essenberger Straße / C1 in Höhe von Haus-Nr. 2d	Essenberger Straße / C1 2d	Essenberger Straße / C1 2d, Moers, Deutschland	51.44966	6.6357
Essenberger Straße / C1 in Höhe von Haus-Nr. 2f	Essenberger Straße / C1 2f	Essenberger Straße / C1 2f, Moers, Deutschland	51.44961	6.63582
Essenberger Straße / C1 in Höhe von Haus-Nr. 2n	Essenberger Straße / C1 2n	Essenberger Straße / C1 2n, Moers, Deutschland	51.44952	6.63634
Essenberger Straße / C1 in Höhe von Haus-Nr. 4	Essenberger Straße / C1 4	Essenberger Straße / C1 4, Moers, Deutschland	51.44938	6.63727
Essenberger Straße / C1 in Höhe von Haus-Nr. 40	Essenberger Straße / C1 40	Essenberger Straße / C1 40, Moers, Deutschland	51.44728	6.64996
Essenberger Straße / C1 in Höhe von Haus-Nr. 46	Essenberger Straße / C1 46	Essenberger Straße / C1 46, Moers, Deutschland	51.4471	6.65166
Essenberger Straße / C1 in Höhe von Haus-Nr. 4a	Essenberger Straße / C1 4a	Essenberger Straße / C1 4a, Moers, Deutschland	51.44939	6.63706
Essenberger Straße / C1 in Höhe von Haus-Nr. 4b	Essenberger Straße / C1 4b	Essenberger Straße / C1 4b, Moers, Deutschland	51.44938	6.63727
Essenberger Straße / C1 in Höhe von Haus-Nr. 4c	Essenberger Straße / C1 4c	Essenberger Straße / C1 4c, Moers, Deutschland	51.44932	6.63756
Essenberger Straße / C1 in Höhe von Haus-Nr. 54	Essenberger Straße / C1 54	Essenberger Straße / C1 54, Moers, Deutschland	51.44684	6.65302
Essenberger Straße / C1 in Höhe von Haus-Nr. 56	Essenberger Straße / C1 56	Essenberger Straße / C1 56, Moers, Deutschland	51.44674	6.65331
Essenberger Straße / C1 in Höhe von Haus-Nr. 62	Essenberger Straße / C1 62	Essenberger Straße / C1 62, Moers, Deutschland	51.44651	6.65377
Essenberger Straße / C1 in Höhe von Haus-Nr. 69	Essenberger Straße / C1 69	Essenberger Straße / C1 69, Moers, Deutschland	51.44646	6.65445
Essenberger Straße / C1 in Höhe von Haus-Nr. 9	Essenberger Straße / C1 9	Essenberger Straße / C1 9, Moers, Deutschland	51.44871	6.64206
Essenberger Straße / C1 in Höhe von Haus-Nr., Parkplatz	Essenberger Straße / C1, Parkplatz	Essenberger Straße / C1, Parkplatz, Moers, Deutschland	51.44968	6.63657
Essenberger Straße / C1 vor Haus-Nr., FEUERWEHR	Essenberger Straße / C1 vor Haus-Nr., FEUERWEHR	Essenberger Straße / C1 vor Haus-Nr., FEUERWEHR, Moers, Deutschland	51.44968	6.63657
Essenberger Straße / C1, Ecke  Goethestr.	Essenberger Straße / C1, Ecke  Goethestr.	Essenberger Straße / C1, Ecke  Goethestr., Moers, Deutschland	51.44968	6.63657
Essenberger Straße / C1, Ecke Mercatorstrasse	Essenberger Straße / C1, Ecke Mercatorstrasse	Essenberger Straße / C1, Ecke Mercatorstrasse, Moers, Deutschland	51.44889	6.63697
Essenberger Straße / C1, Ecke Xantener Str.	Essenberger Straße / C1, Ecke Xantener Str.	Essenberger Straße / C1, Ecke Xantener Str., Moers, Deutschland	51.44984	6.63869
Essenberger Straße / C1, Parkplatz	Essenberger Straße / C1, Parkplatz	Essenberger Straße / C1, Parkplatz, Moers, Deutschland	51.44968	6.63657
Essenberger Straße / C1, Ppl	Essenberger Straße / C1, Ppl	Essenberger Straße / C1, Ppl, Moers, Deutschland	51.44968	6.63657
Essenbergerstr Straße / C1	Essenbergerstr Straße / C1	Essenbergerstr Straße / C1, Moers, Deutschland	51.4493	6.63797
Essenbergerstr Straße / C1 15	Essenbergerstr Straße / C1 15	Essenbergerstr Straße / C1 15, Moers, Deutschland	51.44771	6.64662
Essenbergerstr Straße / C1 62	Essenbergerstr Straße / C1 62	Essenbergerstr Straße / C1 62, Moers, Deutschland	51.44651	6.65377
Essenbergerstr Straße / C1 ggü. Haus-Nr. 128	Essenbergerstr Straße / C1 128	Essenbergerstr Straße / C1 128, Moers, Deutschland	51.44457	6.66195
Essenbergerstr Straße / C1 ggü. Haus-Nr. 1d	Essenbergerstr Straße / C1 1d	Essenbergerstr Straße / C1 1d, Moers, Deutschland	51.44968	6.63657
Essenbergerstr Straße / C1 ggü. Haus-Nr. 1e	Essenbergerstr Straße / C1 1e	Essenbergerstr Straße / C1 1e, Moers, Deutschland	51.44965	6.63668
Essenbergerstr Straße / C1 ggü. Haus-Nr. 209	Essenbergerstr Straße / C1 209	Essenbergerstr Straße / C1 209, Moers, Deutschland	51.44408	6.6731
Essenbergerstr Straße / C1 ggü. Haus-Nr. 2c	Essenbergerstr Straße / C1 2c	Essenbergerstr Straße / C1 2c, Moers, Deutschland	51.44967	6.63563
Essenbergerstr Straße / C1 ggü. Haus-Nr. 54	Essenbergerstr Straße / C1 54	Essenbergerstr Straße / C1 54, Moers, Deutschland	51.44684	6.65302
Essenbergerstr Straße / C1 ggü. Haus-Nr. 6c	Essenbergerstr Straße / C1 6c	Essenbergerstr Straße / C1 6c, Moers, Deutschland	51.44898	6.64009
Essenbergerstr Straße / C1 ggü. Haus-Nr. 96b	Essenbergerstr Straße / C1 96b	Essenbergerstr Straße / C1 96b, Moers, Deutschland	51.44533	6.65735
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 1	Essenbergerstr Straße / C1 1	Essenbergerstr Straße / C1 1, Moers, Deutschland	51.44968	6.63657
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 104a	Essenbergerstr Straße / C1 104a	Essenbergerstr Straße / C1 104a, Moers, Deutschland	51.44508	6.65866
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 106	Essenbergerstr Straße / C1 106	Essenbergerstr Straße / C1 106, Moers, Deutschland	51.44495	6.65905
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 106a	Essenbergerstr Straße / C1 106a	Essenbergerstr Straße / C1 106a, Moers, Deutschland	51.4449	6.65924
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 118a	Essenbergerstr Straße / C1 118a	Essenbergerstr Straße / C1 118a, Moers, Deutschland	51.44462	6.66102
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 125	Essenbergerstr Straße / C1 125	Essenbergerstr Straße / C1 125, Moers, Deutschland	51.44477	6.66169
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 1g	Essenbergerstr Straße / C1 1g	Essenbergerstr Straße / C1 1g, Moers, Deutschland	51.4496	6.63699
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 1h	Essenbergerstr Straße / C1 1h	Essenbergerstr Straße / C1 1h, Moers, Deutschland	51.44957	6.6372
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 20	Essenbergerstr Straße / C1 20	Essenbergerstr Straße / C1 20, Moers, Deutschland	51.44739	6.64718
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 26	Essenbergerstr Straße / C1 26	Essenbergerstr Straße / C1 26, Moers, Deutschland	51.44734	6.64805
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 4	Essenbergerstr Straße / C1 4	Essenbergerstr Straße / C1 4, Moers, Deutschland	51.44938	6.63727
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 40a	Essenbergerstr Straße / C1 40a	Essenbergerstr Straße / C1 40a, Moers, Deutschland	51.44719	6.65041
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 52	Essenbergerstr Straße / C1 52	Essenbergerstr Straße / C1 52, Moers, Deutschland	51.44692	6.65257
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 53	Essenbergerstr Straße / C1 53	Essenbergerstr Straße / C1 53, Moers, Deutschland	51.44709	6.65307
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 55	Essenbergerstr Straße / C1 55	Essenbergerstr Straße / C1 55, Moers, Deutschland	51.44699	6.65331
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 57	Essenbergerstr Straße / C1 57	Essenbergerstr Straße / C1 57, Moers, Deutschland	51.44695	6.65338
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 59	Essenbergerstr Straße / C1 59	Essenbergerstr Straße / C1 59, Moers, Deutschland	51.44692	6.65345
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 6	Essenbergerstr Straße / C1 6	Essenbergerstr Straße / C1 6, Moers, Deutschland	51.44903	6.63978
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 61a	Essenbergerstr Straße / C1 61a	Essenbergerstr Straße / C1 61a, Moers, Deutschland	51.44684	6.65365
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 61b	Essenbergerstr Straße / C1 61b	Essenbergerstr Straße / C1 61b, Moers, Deutschland	51.44681	6.65375
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 61c	Essenbergerstr Straße / C1 61c	Essenbergerstr Straße / C1 61c, Moers, Deutschland	51.44677	6.65379
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 80	Essenbergerstr Straße / C1 80	Essenbergerstr Straße / C1 80, Moers, Deutschland	51.44579	6.65517
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 82	Essenbergerstr Straße / C1 82	Essenbergerstr Straße / C1 82, Moers, Deutschland	51.44579	6.65544
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 86a	Essenbergerstr Straße / C1 86a	Essenbergerstr Straße / C1 86a, Moers, Deutschland	51.44562	6.65592
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 88	Essenbergerstr Straße / C1 88	Essenbergerstr Straße / C1 88, Moers, Deutschland	51.44554	6.65622
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 91	Essenbergerstr Straße / C1 91	Essenbergerstr Straße / C1 91, Moers, Deutschland	51.44569	6.65653
Essenbergerstr Straße / C1 in Höhe von Haus-Nr. 92a	Essenbergerstr Straße / C1 92a	Essenbergerstr Straße / C1 92a, Moers, Deutschland	51.44548	6.65665
Essenbergerstr Straße / C1, Ecke Mercatorstraße	Essenbergerstr Straße / C1, Ecke Mercatorstraße	Essenbergerstr Straße / C1, Ecke Mercatorstraße, Moers, Deutschland	51.44889	6.63697
Essenbergerstr Straße / C1, Ecke Ottostrasse	Essenbergerstr Straße / C1, Ecke Ottostrasse	Essenbergerstr Straße / C1, Ecke Ottostrasse, Moers, Deutschland	51.44747	6.65405
Essenbergerstr Straße / C1, Feuerwehrparkplatz	Essenbergerstr Straße / C1, Feuerwehrparkplatz	Essenbergerstr Straße / C1, Feuerwehrparkplatz, Moers, Deutschland	51.44968	6.63657
Essenbergerstr Straße / C1, Geg. ALTER Sportplatz	Essenbergerstr Straße / C1, ALTER Sportplatz	Essenbergerstr Straße / C1, ALTER Sportplatz, Moers, Deutschland	51.41027	6.66263
Essenbergerstr Straße / C1, Parkplatz	Essenbergerstr Straße / C1, Parkplatz	Essenbergerstr Straße / C1, Parkplatz, Moers, Deutschland	51.44968	6.63657
Eupener Straße 12m	Eupener Straße 12m	Eupener Straße 12m, Moers, Deutschland	51.45851	6.64535
Eupener Straße 19, Ecke Donaustr.	Eupener Straße 19, Ecke Donaustr.	Eupener Straße 19, Ecke Donaustr., Moers, Deutschland	51.45362	6.64525
Eupener Straße 30	Eupener Straße 30	Eupener Straße 30, Moers, Deutschland	51.45851	6.64535
