tatort	tatort_cleaned	tatort_coding	lat	lon
Adolf-Krummacher-Straße, Ecke Essenberger Str.	Adolf-Krummacher-Straße, Ecke Essenberger Str.	Adolf-Krummacher-Straße, Ecke Essenberger Str., Moers, Deutschland	51.44892	6.63843
Ahornstraße 6	Ahornstraße 6	Ahornstraße 6, Moers, Deutschland	51.39712	6.63246
Akazienstraße 103, Giebel	Akazienstraße 103, Giebel	Akazienstraße 103, Giebel, Moers, Deutschland	51.39652	6.63406
Akazienstraße 118	Akazienstraße 118	Akazienstraße 118, Moers, Deutschland	51.39652	6.63406
Akazienstraße 5	Akazienstraße 5	Akazienstraße 5, Moers, Deutschland	51.39596	6.63403
Akazienstraße ggü. Haus-Nr. 7	Akazienstraße 7	Akazienstraße 7, Moers, Deutschland	51.39617	6.63404
Albert-Altwicker-Straße	Albert-Altwicker-Straße	Albert-Altwicker-Straße, Moers, Deutschland	51.47426	6.63028
Albert-Altwicker-Straße in Höhe von Haus-Nr. 8c, Parkplatz	Albert-Altwicker-Straße 8c, Parkplatz	Albert-Altwicker-Straße 8c, Parkplatz, Moers, Deutschland	51.47482	6.63088
Albert-Schweitzer-Straße 2, Ecke	Albert-Schweitzer-Straße 2, Ecke	Albert-Schweitzer-Straße 2, Ecke, Moers, Deutschland	51.42519	6.59235
Alfredstraße in Höhe von Haus-Nr. 21	Alfredstraße 21	Alfredstraße 21, Moers, Deutschland	51.44616	6.64992
Allmendestraße 1	Allmendestraße 1	Allmendestraße 1, Moers, Deutschland	51.4906	6.597
Allmendestraße 2	Allmendestraße 2	Allmendestraße 2, Moers, Deutschland	51.49048	6.59758
Allmendestraße 2, Ecke Lintfforter Str.	Allmendestraße 2, Ecke Lintfforter Str.	Allmendestraße 2, Ecke Lintfforter Str., Moers, Deutschland	51.49048	6.59758
Allmendestraße 5	Allmendestraße 5	Allmendestraße 5, Moers, Deutschland	51.4909	6.59658
Allmendestraße 7a	Allmendestraße 7a	Allmendestraße 7a, Moers, Deutschland	51.49122	6.59705
Allmendestraße, Ecke Lintfforter Str.	Allmendestraße, Ecke Lintfforter Str.	Allmendestraße, Ecke Lintfforter Str., Moers, Deutschland	51.49154	6.59716
Alsenstraße 1	Alsenstraße 1	Alsenstraße 1, Moers, Deutschland	51.4535	6.64255
Alsenstraße 37r	Alsenstraße 37r	Alsenstraße 37r, Moers, Deutschland	51.45417	6.64716
Alsenstraße, Ecke Moselstr.	Alsenstraße, Ecke Moselstr.	Alsenstraße, Ecke Moselstr., Moers, Deutschland	51.45413	6.64525
Altdorferstraße 1	Altdorferstraße 1	Altdorferstraße 1, Moers, Deutschland	51.42315	6.66241
Altdorferstraße ggü. Haus-Nr. 9	Altdorferstraße 9	Altdorferstraße 9, Moers, Deutschland	51.42306	6.66104
Altmarkt	Altmarkt	Altmarkt, Moers, Deutschland	51.45182	6.62651
